manifestacao,n_total_com_dado,n_SIM,pct_SIM
Litíase Vesicular,62,40,64.51612903225806
Necrose avascular óssea,62,21,33.87096774193548
Hepatosiderose,62,20,32.25806451612903
Cardiopatia dilatada,62,12,19.35483870967742
Úlcera Cutânea Crónica,62,10,16.129032258064516
Doença pulmonar restritiva,62,9,14.516129032258066
DRC,62,7,11.29032258064516
Hipertensão pulmonar,62,7,11.29032258064516
Doença cerebrovascular,62,7,11.29032258064516
Hepatopatia falciforme,61,5,8.19672131147541
Osteopenia ou osteoporose,62,5,8.064516129032258
Doença Pulmonar Obstrutiva,62,4,6.451612903225806
Retinopatia ou máculopatia,62,4,6.451612903225806
Cardiopatia hipertrófica,62,4,6.451612903225806
Osteomielite crónica,62,2,3.225806451612903
Disfunção Erétil,62,1,1.6129032258064515
